"符号","含义","本模型值 / 场景输入","来源","条件与缺口"
"Nc/Nr","KDA convolution cache 行数（1+B）和 recurrent-state 行数（1+B*verify_size）；它们不是 MLA 的 paged block 数","未核验","https://huggingface.co/ToolBench/ToolBench_IR_bert_based_uncased/resolve/cf4a904c33cde549643aa6d9091146e68ed4932f/config.json","原模板缓存行数假设非通用模型事实，未自动套用"
"模型","ToolBench_IR_bert_based_uncased","","",""
"TP","Tensor parallel场景假设","1","","正整数场景输入；实际支持未核验"
"EP","Expert parallel场景假设","1","","正整数场景输入；实际支持未核验"
"L_text","编码输入长度场景假设","1","",""
"阶段","单次文本编码/检索；Q/K/V同L_text；历史缓存路径不在本逻辑视图内","","",""
"覆盖状态","逐层配置/数学推导；部分模块未知","","",""
"配置层数（已展开）","12","","",""
"算子行数","157","","",""
"S语义","模板S保留定义，本编码器不适用；使用L_text","","",""
"shape口径","TP=1逻辑视图，权重逻辑[out,in]；物理存储另列","","",""
"dtype/format","存储容器≠激活/累加dtype≠物理format","","",""
"性能","duration/计算利用率/mte/scalar未实测","","",""
"来源快照","https://huggingface.co/ToolBench/ToolBench_IR_bert_based_uncased/resolve/cf4a904c33cde549643aa6d9091146e68ed4932f/config.json","","",""
"K3模板审计","模型独立配置，不继承K3数值","","",""
"字段路径","配置值","","",""
"architectures","[""BertModel""]","","https://huggingface.co/ToolBench/ToolBench_IR_bert_based_uncased/resolve/cf4a904c33cde549643aa6d9091146e68ed4932f/config.json",""
"attention_probs_dropout_prob","0.1","","https://huggingface.co/ToolBench/ToolBench_IR_bert_based_uncased/resolve/cf4a904c33cde549643aa6d9091146e68ed4932f/config.json",""
"classifier_dropout","null","","https://huggingface.co/ToolBench/ToolBench_IR_bert_based_uncased/resolve/cf4a904c33cde549643aa6d9091146e68ed4932f/config.json",""
"gradient_checkpointing","false","","https://huggingface.co/ToolBench/ToolBench_IR_bert_based_uncased/resolve/cf4a904c33cde549643aa6d9091146e68ed4932f/config.json",""
"hidden_act","gelu","","https://huggingface.co/ToolBench/ToolBench_IR_bert_based_uncased/resolve/cf4a904c33cde549643aa6d9091146e68ed4932f/config.json",""
"hidden_dropout_prob","0.1","","https://huggingface.co/ToolBench/ToolBench_IR_bert_based_uncased/resolve/cf4a904c33cde549643aa6d9091146e68ed4932f/config.json",""
"hidden_size","768","","https://huggingface.co/ToolBench/ToolBench_IR_bert_based_uncased/resolve/cf4a904c33cde549643aa6d9091146e68ed4932f/config.json",""
"initializer_range","0.02","","https://huggingface.co/ToolBench/ToolBench_IR_bert_based_uncased/resolve/cf4a904c33cde549643aa6d9091146e68ed4932f/config.json",""
"intermediate_size","3072","","https://huggingface.co/ToolBench/ToolBench_IR_bert_based_uncased/resolve/cf4a904c33cde549643aa6d9091146e68ed4932f/config.json",""
"layer_norm_eps","1e-12","","https://huggingface.co/ToolBench/ToolBench_IR_bert_based_uncased/resolve/cf4a904c33cde549643aa6d9091146e68ed4932f/config.json",""
"max_position_embeddings","512","","https://huggingface.co/ToolBench/ToolBench_IR_bert_based_uncased/resolve/cf4a904c33cde549643aa6d9091146e68ed4932f/config.json",""
"model_type","bert","","https://huggingface.co/ToolBench/ToolBench_IR_bert_based_uncased/resolve/cf4a904c33cde549643aa6d9091146e68ed4932f/config.json",""
"num_attention_heads","12","","https://huggingface.co/ToolBench/ToolBench_IR_bert_based_uncased/resolve/cf4a904c33cde549643aa6d9091146e68ed4932f/config.json",""
"num_hidden_layers","12","","https://huggingface.co/ToolBench/ToolBench_IR_bert_based_uncased/resolve/cf4a904c33cde549643aa6d9091146e68ed4932f/config.json",""
"pad_token_id","0","","https://huggingface.co/ToolBench/ToolBench_IR_bert_based_uncased/resolve/cf4a904c33cde549643aa6d9091146e68ed4932f/config.json",""
"position_embedding_type","absolute","","https://huggingface.co/ToolBench/ToolBench_IR_bert_based_uncased/resolve/cf4a904c33cde549643aa6d9091146e68ed4932f/config.json",""
"torch_dtype","float32","","https://huggingface.co/ToolBench/ToolBench_IR_bert_based_uncased/resolve/cf4a904c33cde549643aa6d9091146e68ed4932f/config.json",""
"transformers_version","4.26.1","","https://huggingface.co/ToolBench/ToolBench_IR_bert_based_uncased/resolve/cf4a904c33cde549643aa6d9091146e68ed4932f/config.json",""
"type_vocab_size","2","","https://huggingface.co/ToolBench/ToolBench_IR_bert_based_uncased/resolve/cf4a904c33cde549643aa6d9091146e68ed4932f/config.json",""
"use_cache","true","","https://huggingface.co/ToolBench/ToolBench_IR_bert_based_uncased/resolve/cf4a904c33cde549643aa6d9091146e68ed4932f/config.json",""
"vocab_size","30522","","https://huggingface.co/ToolBench/ToolBench_IR_bert_based_uncased/resolve/cf4a904c33cde549643aa6d9091146e68ed4932f/config.json",""
