"符号","含义","本模型值 / 场景输入","来源","条件与缺口"
"Nc/Nr","KDA convolution cache 行数（1+B）和 recurrent-state 行数（1+B*verify_size）；它们不是 MLA 的 paged block 数","未核验","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json","原模板缓存行数假设非通用模型事实，未自动套用"
"模型","SciCore-Omics","","",""
"TP","Tensor parallel场景假设","1","","正整数场景输入；实际支持未核验"
"EP","Expert parallel场景假设","1","","正整数场景输入；实际支持未核验"
"L_KV","未核验","","",""
"阶段","文本decode/verify；视觉/音频/动作各自阶段","","",""
"覆盖状态","逐层配置/数学推导；部分模块未知","","",""
"配置层数（已展开）","67","","",""
"算子行数","788","","",""
"S语义","本request verify长度；prefill用独立长度L_prefill","","",""
"shape口径","TP=1逻辑视图，权重逻辑[out,in]；物理存储另列","","",""
"dtype/format","存储容器≠激活/累加dtype≠物理format","","",""
"性能","duration/计算利用率/mte/scalar未实测","","",""
"来源快照","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json","","",""
"K3模板审计","模型独立配置，不继承K3数值","","",""
"字段路径","配置值","","",""
"architectures","[""MiniCPMV""]","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"attention_dropout","0","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"auto_map.AutoConfig","configuration_minicpm.MiniCPMVConfig","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"auto_map.AutoModel","modeling_minicpmv.MiniCPMV","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"auto_map.AutoModelForCausalLM","modeling_minicpmv.MiniCPMV","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"batch_vision_input","true","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"bos_token_id","151643","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"drop_vision_last_layer","false","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"dtype","bfloat16","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"eos_token_id","151645","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"gene_config.assay","true","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"gene_config.batch_first","true","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"gene_config.cls_classes","164","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"gene_config.context_length","1500","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"gene_config.dim_feedforward","1024","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"gene_config.dim_model","512","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"gene_config.dropout","0","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"gene_config.learnable_pe","true","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"gene_config.masking_p","0.15","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"gene_config.modality","true","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"gene_config.model_type","nicheformer","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"gene_config.n_tokens","20340","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"gene_config.nheads","16","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"gene_config.nlayers","12","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"gene_config.specie","true","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"gene_config.supervised_task","null","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"gene_hidden_size","512","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"gene_max_length","1500","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"gene_vocab_size","1536","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"hidden_act","silu","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"hidden_size","3584","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"image_size","448","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"initializer_range","0.02","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"intermediate_size","18944","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"layer_types","[""full_attention"",""full_attention"",""full_attention"",""full_attention"",""full_attention"",""full_attention"",""full_attention"",""full_attention"",""full_attention"",""full_attention"",""full_attention"",""full_attention"",""full_attention"",""full_attention"",""full_attention"",""full_attention"",""full_attention"",""full_attention"",""full_attention"",""full_attention"",""full_attention"",""full_attention"",""full_attention"",""full_attention"",""full_attention"",""full_attention"",""full_attention"",""full_attention""]","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"max_position_embeddings","32768","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"max_window_layers","28","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"model_type","minicpmv","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"num_attention_heads","28","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"num_hidden_layers","28","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"num_key_value_heads","4","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"patch_size","14","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"query_num","64","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"rms_norm_eps","0.000001","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"rope_scaling","null","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"rope_theta","1000000","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"slice_config.max_slice_nums","9","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"slice_config.model_type","minicpmv","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"slice_config.patch_size","14","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"slice_config.scale_resolution","448","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"slice_mode","true","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"sliding_window","null","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"tie_word_embeddings","false","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"transformers_version","4.57.1","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"use_cache","true","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"use_gene_module","true","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"use_image_id","true","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"use_sliding_window","false","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"version","2.6","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"vision_batch_size","16","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"vision_config.attention_dropout","0","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"vision_config.hidden_act","gelu_pytorch_tanh","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"vision_config.hidden_size","1152","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"vision_config.image_size","980","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"vision_config.intermediate_size","4304","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"vision_config.layer_norm_eps","0.000001","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"vision_config.model_type","siglip_vision_model","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"vision_config.num_attention_heads","16","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"vision_config.num_channels","3","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"vision_config.num_hidden_layers","27","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"vision_config.patch_size","14","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
"vocab_size","151666","","https://huggingface.co/openbmb/SciCore-Omics/resolve/41a88ec20b763d8ce95a48bb7104ce6d87e2d931/config.json",""
