"符号","含义","本模型值 / 场景输入","来源","条件与缺口"
"EP","Expert parallel场景假设","1","","正整数场景输入；实际支持未核验"
"L_KV","未核验","","",""
"阶段","文本decode/verify；视觉/音频/动作各自阶段","","",""
"覆盖状态","逐层配置/数学推导；部分模块未知","","",""
"配置层数（已展开）","48","","",""
"算子行数","625","","",""
"S语义","本request verify长度；prefill用独立长度L_prefill","","",""
"shape口径","TP=1逻辑视图，权重逻辑[out,in]；物理存储另列","","",""
"dtype/format","存储容器≠激活/累加dtype≠物理format","","",""
"性能","duration/计算利用率/mte/scalar未实测","","",""
"来源快照","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json","","",""
"K3模板审计","模型独立配置，不继承K3数值","","",""
"字段路径","配置值","","",""
"architectures","[""Qwen2ForCausalLM""]","","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json",""
"attention_dropout","0","","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json",""
"bos_token_id","151643","","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json",""
"eos_token_id","151645","","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json",""
"hidden_act","silu","","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json",""
"hidden_size","5120","","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json",""
"initializer_range","0.02","","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json",""
"intermediate_size","13824","","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json",""
"max_position_embeddings","32768","","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json",""
"max_window_layers","70","","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json",""
"model_type","qwen2","","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json",""
"num_attention_heads","40","","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json",""
"num_hidden_layers","48","","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json",""
"num_key_value_heads","8","","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json",""
"rms_norm_eps","0.000001","","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json",""
"rope_theta","1000000","","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json",""
"sliding_window","null","","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json",""
"tie_word_embeddings","false","","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json",""
"torch_dtype","bfloat16","","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json",""
"transformers_version","4.44.2","","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json",""
"use_cache","true","","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json",""
"use_sliding_window","false","","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json",""
"vocab_size","152064","","https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json",""
