"符号","含义","本模型值 / 场景输入","来源","条件与缺口"
"Nb/Lb","paged-cache block 数、block size","未核验","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json","paged-cache布局与块大小未核验"
"Nc/Nr","KDA convolution cache 行数（1+B）和 recurrent-state 行数（1+B*verify_size）；它们不是 MLA 的 paged block 数","未核验","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json","原模板缓存行数假设非通用模型事实，未自动套用"
"模型","MiniCPM4-0.5B-QAT-Int4-GPTQ-format","","",""
"TP","Tensor parallel场景假设","1","",""
"EP","Expert parallel场景假设","1","",""
"L_KV","未核验","","",""
"阶段","文本decode/verify；视觉/音频/动作各自阶段","","",""
"覆盖状态","逐层配置/数学推导；部分模块未知","","",""
"配置层数（已展开）","24","","",""
"算子行数","313","","",""
"S语义","本request verify长度；prefill用独立长度L_prefill","","",""
"shape口径","TP=1逻辑视图，权重逻辑[out,in]；物理存储另列","","",""
"dtype/format","存储容器≠激活/累加dtype≠物理format","","",""
"性能","duration/计算利用率/mte/scalar未实测","","",""
"来源快照","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json","","",""
"K3模板审计","模型独立配置，不继承K3数值","","",""
"字段路径","配置值","","",""
"architectures","[""MiniCPMForCausalLM""]","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"attention_bias","false","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"attention_dropout","0","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"auto_map.AutoConfig","configuration_minicpm.MiniCPMConfig","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"auto_map.AutoModel","modeling_minicpm.MiniCPMModel","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"auto_map.AutoModelForCausalLM","modeling_minicpm.MiniCPMForCausalLM","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"auto_map.AutoModelForSeq2SeqLM","modeling_minicpm.MiniCPMForCausalLM","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"auto_map.AutoModelForSequenceClassification","modeling_minicpm.MiniCPMForSequenceClassification","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"bos_token_id","1","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"dim_model_base","256","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"eos_token_id","[2,73440]","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"hidden_act","silu","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"hidden_size","1024","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"initializer_range","0.1","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"intermediate_size","4096","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"max_position_embeddings","32768","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"model_type","minicpm","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"mup_denominator","null","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"num_attention_heads","16","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"num_hidden_layers","24","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"num_key_value_heads","2","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"pretraining_tp","1","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"quantization_config.bits","4","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"quantization_config.checkpoint_format","gptq","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"quantization_config.damp_percent","0.01","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"quantization_config.desc_act","false","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"quantization_config.group_size","128","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"quantization_config.lm_head","false","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"quantization_config.model_file_base_name","null","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"quantization_config.model_name_or_path","null","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"quantization_config.quant_method","gptq","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"quantization_config.static_groups","false","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"quantization_config.sym","true","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"quantization_config.true_sequential","true","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"rms_norm_eps","0.00001","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"rope_scaling.long_factor","[1.0004360675811768,1.0668443441390991,1.1631425619125366,1.3025742769241333,1.5040205717086792,1.7941505908966064,2.2101221084594727,2.802666664123535,3.6389970779418945,4.804192543029785,6.39855432510376,8.527148246765137,11.277542114257812,14.684998512268066,18.69317054748535,23.13019371032715,27.72362518310547,32.1606559753418,36.168827056884766,39.57627868652344,42.32667541503906,44.45526885986328,46.04962921142578,47.21482849121094,48.05115509033203,48.64370346069336,49.05967712402344,49.34980392456055,49.551246643066406,49.69068145751953,49.78697967529297,49.85338592529297]","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"rope_scaling.original_max_position_embeddings","32768","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"rope_scaling.rope_type","longrope","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"rope_scaling.short_factor","[1.0004360675811768,1.0668443441390991,1.1631425619125366,1.3025742769241333,1.5040205717086792,1.7941505908966064,2.2101221084594727,2.802666664123535,3.6389970779418945,4.804192543029785,6.39855432510376,8.527148246765137,11.277542114257812,14.684998512268066,18.69317054748535,23.13019371032715,27.72362518310547,32.1606559753418,36.168827056884766,39.57627868652344,42.32667541503906,44.45526885986328,46.04962921142578,47.21482849121094,48.05115509033203,48.64370346069336,49.05967712402344,49.34980392456055,49.551246643066406,49.69068145751953,49.78697967529297,49.85338592529297]","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"rope_theta","10000","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"scale_depth","1.4","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"scale_emb","12","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"sparse_config","null","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"torch_dtype","float16","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"transformers_version","4.40.2","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"use_cache","true","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
"vocab_size","73448","","https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json",""
