"符号","含义","本模型值 / 场景输入","来源","条件与缺口"
"num_key_value_heads","8","","https://huggingface.co/openbmb/BitCPM4-1B/resolve/70d989c4972efa636e8a2211975515d188e000b0/config.json",""
"rms_norm_eps","0.00001","","https://huggingface.co/openbmb/BitCPM4-1B/resolve/70d989c4972efa636e8a2211975515d188e000b0/config.json",""
"rope_scaling.rope_type","longrope","","https://huggingface.co/openbmb/BitCPM4-1B/resolve/70d989c4972efa636e8a2211975515d188e000b0/config.json",""
"rope_scaling.long_factor","[1.0004360675811768,1.0668443441390991,1.1631425619125366,1.3025742769241333,1.5040205717086792,1.7941505908966064,2.2101221084594727,2.802666664123535,3.6389970779418945,4.804192543029785,6.39855432510376,8.527148246765137,11.277542114257812,14.684998512268066,18.69317054748535,23.13019371032715,27.72362518310547,32.1606559753418,36.168827056884766,39.57627868652344,42.32667541503906,44.45526885986328,46.04962921142578,47.21482849121094,48.05115509033203,48.64370346069336,49.05967712402344,49.34980392456055,49.551246643066406,49.69068145751953,49.78697967529297,49.85338592529297]","","https://huggingface.co/openbmb/BitCPM4-1B/resolve/70d989c4972efa636e8a2211975515d188e000b0/config.json",""
"rope_scaling.short_factor","[1.0004360675811768,1.0668443441390991,1.1631425619125366,1.3025742769241333,1.5040205717086792,1.7941505908966064,2.2101221084594727,2.802666664123535,3.6389970779418945,4.804192543029785,6.39855432510376,8.527148246765137,11.277542114257812,14.684998512268066,18.69317054748535,23.13019371032715,27.72362518310547,32.1606559753418,36.168827056884766,39.57627868652344,42.32667541503906,44.45526885986328,46.04962921142578,47.21482849121094,48.05115509033203,48.64370346069336,49.05967712402344,49.34980392456055,49.551246643066406,49.69068145751953,49.78697967529297,49.85338592529297]","","https://huggingface.co/openbmb/BitCPM4-1B/resolve/70d989c4972efa636e8a2211975515d188e000b0/config.json",""
"rope_scaling.original_max_position_embeddings","32768","","https://huggingface.co/openbmb/BitCPM4-1B/resolve/70d989c4972efa636e8a2211975515d188e000b0/config.json",""
"torch_dtype","bfloat16","","https://huggingface.co/openbmb/BitCPM4-1B/resolve/70d989c4972efa636e8a2211975515d188e000b0/config.json",""
"transformers_version","4.46.3","","https://huggingface.co/openbmb/BitCPM4-1B/resolve/70d989c4972efa636e8a2211975515d188e000b0/config.json",""
"use_cache","true","","https://huggingface.co/openbmb/BitCPM4-1B/resolve/70d989c4972efa636e8a2211975515d188e000b0/config.json",""
"vocab_size","73448","","https://huggingface.co/openbmb/BitCPM4-1B/resolve/70d989c4972efa636e8a2211975515d188e000b0/config.json",""
"scale_emb","12","","https://huggingface.co/openbmb/BitCPM4-1B/resolve/70d989c4972efa636e8a2211975515d188e000b0/config.json",""
"dim_model_base","256","","https://huggingface.co/openbmb/BitCPM4-1B/resolve/70d989c4972efa636e8a2211975515d188e000b0/config.json",""
"scale_depth","1.4","","https://huggingface.co/openbmb/BitCPM4-1B/resolve/70d989c4972efa636e8a2211975515d188e000b0/config.json",""
