"符号","含义","本模型值 / 场景输入","来源","条件与缺口"
"R","routed_expert_hidden_size（MoE latent 宽度）","不适用","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json","非latent-MoE时不适用"
"Nb/Lb","paged-cache block 数、block size","未核验","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json","paged-cache布局与块大小未核验"
"Nc/Nr","KDA convolution cache 行数（1+B）和 recurrent-state 行数（1+B*verify_size）；它们不是 MLA 的 paged block 数","未核验","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json","原模板缓存行数假设非通用模型事实，未自动套用"
"模型","MiniCPM4-Survey","","",""
"TP","Tensor parallel场景假设","1","",""
"EP","Expert parallel场景假设","1","",""
"L_KV","未核验","","",""
"阶段","文本decode/verify；视觉/音频/动作各自阶段","","",""
"覆盖状态","逐层配置/数学推导；部分模块未知","","",""
"配置层数（已展开）","32","","",""
"算子行数","417","","",""
"S语义","本request verify长度；prefill用独立长度L_prefill","","",""
"shape口径","TP=1逻辑视图，权重逻辑[out,in]；物理存储另列","","",""
"dtype/format","存储容器≠激活/累加dtype≠物理format","","",""
"性能","duration/计算利用率/mte/scalar未实测","","",""
"来源快照","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json","","",""
"K3模板审计","模型独立配置，不继承K3数值","","",""
"字段路径","配置值","","",""
"architectures","[""MiniCPMForCausalLM""]","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"auto_map.AutoConfig","configuration_minicpm.MiniCPMConfig","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"auto_map.AutoModel","modeling_minicpm.MiniCPMModel","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"auto_map.AutoModelForCausalLM","modeling_minicpm.MiniCPMForCausalLM","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"auto_map.AutoModelForSeq2SeqLM","modeling_minicpm.MiniCPMForCausalLM","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"auto_map.AutoModelForSequenceClassification","modeling_minicpm.MiniCPMForSequenceClassification","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"bos_token_id","1","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"eos_token_id","[2,73440]","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"pad_token_id","2","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"hidden_act","silu","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"hidden_size","4096","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"initializer_range","0.1","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"intermediate_size","16384","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"max_position_embeddings","32768","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"model_type","minicpm","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"num_attention_heads","32","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"num_hidden_layers","32","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"num_key_value_heads","2","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"rms_norm_eps","0.000001","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"rope_scaling.rope_type","longrope","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"rope_scaling.long_factor","[0.9977997200264581,1.014658295992452,1.0349680404997148,1.059429246056193,1.0888815016813513,1.1243301355211495,1.166977103606075,1.2182568066927284,1.2798772354275727,1.3538666751582975,1.4426259039919596,1.5489853358570191,1.6762658237220625,1.8283407612492941,2.0096956085876183,2.225478927469756,2.481536379650452,2.784415934557119,3.1413289096347365,3.560047844772632,4.048719380066383,4.615569542115128,5.2684819496549835,6.014438591970396,6.858830049237097,7.804668263503327,8.851768731513417,9.99600492938444,11.228766118181639,12.536757560834843,13.902257701387796,15.303885189125953,16.717837610115794,18.119465097853947,19.484965238406907,20.792956681060105,22.02571786985731,23.16995406772833,24.217054535738416,25.16289275000465,26.007284207271347,26.753240849586767,27.40615325712662,27.973003419175363,28.461674954469114,28.880393889607006,29.237306864684626,29.540186419591297,29.79624387177199,30.01202719065413,30.193382037992453,30.34545697551969,30.47273746338473,30.579096895249787,30.66785612408345,30.741845563814174,30.80346599254902,30.85474569563567,30.897392663720595,30.932841297560394,30.962293553185553,30.986754758742034,31.007064503249293,31.02392307921529]","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"rope_scaling.short_factor","[0.9977997200264581,1.014658295992452,1.0349680404997148,1.059429246056193,1.0888815016813513,1.1243301355211495,1.166977103606075,1.2182568066927284,1.2798772354275727,1.3538666751582975,1.4426259039919596,1.5489853358570191,1.6762658237220625,1.8283407612492941,2.0096956085876183,2.225478927469756,2.481536379650452,2.784415934557119,3.1413289096347365,3.560047844772632,4.048719380066383,4.615569542115128,5.2684819496549835,6.014438591970396,6.858830049237097,7.804668263503327,8.851768731513417,9.99600492938444,11.228766118181639,12.536757560834843,13.902257701387796,15.303885189125953,16.717837610115794,18.119465097853947,19.484965238406907,20.792956681060105,22.02571786985731,23.16995406772833,24.217054535738416,25.16289275000465,26.007284207271347,26.753240849586767,27.40615325712662,27.973003419175363,28.461674954469114,28.880393889607006,29.237306864684626,29.540186419591297,29.79624387177199,30.01202719065413,30.193382037992453,30.34545697551969,30.47273746338473,30.579096895249787,30.66785612408345,30.741845563814174,30.80346599254902,30.85474569563567,30.897392663720595,30.932841297560394,30.962293553185553,30.986754758742034,31.007064503249293,31.02392307921529]","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"rope_scaling.original_max_position_embeddings","32768","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"torch_dtype","bfloat16","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"transformers_version","4.46.3","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"use_cache","true","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"vocab_size","73448","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"rope_theta","10000","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"scale_emb","12","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"scale_depth","1.4","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"mup_denominator","32","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"dim_model_base","256","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
"tie_word_embeddings","false","","https://huggingface.co/openbmb/MiniCPM4-Survey/resolve/adfe3fbbc702feedc24f98d6fa9417549193c8f4/config.json",""
